127.0.0.1 - - [04/Mar/2025:17:47:24 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/ HTTP/1.1" 200 16464
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/images/pcake.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/images/brownie.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/img/cball.jpg HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/images/cake/b1.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/images/cake/b2.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/images/cake/b3.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/images/cake/b4.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/images/cake/b6.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/b1.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/b2.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/b3.avif HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/b4.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/b5.png HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/b6.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/b7.webp HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/b8.jpeg HTTP/1.1" 404 772
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/images/shop.avif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:27 +0530] "GET /Cake_Shop/images/bgimg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:29 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:30 +0530] "GET /Cake_Shop/register.jsp HTTP/1.1" 200 6655
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:30 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:30 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:30 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:30 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:32 +0530] "GET /Cake_Shop/login.jsp HTTP/1.1" 200 6841
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:32 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:32 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:32 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:32 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:40 +0530] "POST /Cake_Shop/Login_servlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:40 +0530] "GET /Cake_Shop/login.jsp HTTP/1.1" 200 7068
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:40 +0530] "GET /Cake_Shop/pcake.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:40 +0530] "GET /Cake_Shop/brownie.webp HTTP/1.1" 404 777
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:40 +0530] "GET /Cake_Shop/ccake.jpeg HTTP/1.1" 404 775
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:40 +0530] "GET /Cake_Shop/cball.jpg HTTP/1.1" 404 774
0:0:0:0:0:0:0:1 - - [04/Mar/2025:17:47:47 +0530] "POST /Cake_Shop/Login_servlet HTTP/1.1" 302 -
